timestep,dr_error,ai_error
80,0.0,0.0
81,0.02500000000000251,0.0037500000000000922
82,0.07071067811865353,0.010606601717800585
83,0.12990381056766762,0.019485571585152416
84,0.1999999999999973,0.030000000000000738
85,0.2795084971874746,0.04192627457811835
86,0.36742346141747584,0.055113519212621684
87,0.463006479436306,0.06945097191544562
88,0.5656854249492396,0.08485281374238766
89,0.6749999999999993,0.10125000000000244
90,0.7905694150420935,0.11858541225631516
91,0.9120718173477363,0.13681077260216043
92,1.0392304845413238,0.1558845726811966
93,1.1718041645257946,0.17577062467887006
94,1.30958008537088,0.19643701280562945
95,1.4523687548277833,0.21785531322416687
96,1.600000000000001,0.24000000000000013
97,1.752319890887506,0.262847983633127
98,1.9091883092036794,0.2863782463805533
99,2.070476998181822,0.31057154972727524
100,2.2360679774997907,0.33541019662496946
101,2.4058522398518174,0.3608778359777714
102,2.5797286679028884,0.38695930018543523
103,2.7576031259048146,0.4136404688857199
104,2.9393876913398125,0.44090815370097336
105,3.125,0.46875
106,3.3143626838353075,0.49715440257529836
107,3.5074028853269743,0.526110432799047
108,3.7040518354904255,0.555607775323565
109,3.9042444851725135,0.5856366727758748
110,4.1079191812887474,0.6161878771933094
111,4.3150173811932655,0.6472526071789897
112,4.525483399593905,0.6788225099390843
113,4.739264183393876,0.7108896275090798
114,4.956309110618503,0.7434463665927736
115,5.1765698102121664,0.7764854715318231
116,5.4,0.8100000000000025
117,5.626555340525854,0.8439833010788783
118,5.856193302820527,0.8784289954230761
119,6.088873048438437,0.9133309572657655
120,6.32455532033676,0.9486832980505157
121,6.563202343368671,0.9844803515052991
122,6.804777733328252,1.0207166599992403
123,7.049246413624653,1.0573869620436949
124,7.296574538781879,1.0944861808172834
125,7.54672942406179,1.1320094136092695
126,7.799679480594061,1.1699519220891108
127,8.05539415547123,1.2083091233206888
128,8.313843876330614,1.2470765814495954
129,8.574999999999998,1.2862499999999966
130,8.838834764831844,1.3258252147247718
131,9.10532124639213,1.365798186958821
132,9.37443331620637,1.4061649974309611
133,9.646145603296683,1.446921840494504
134,9.920433458271877,1.4880650187407851
135,10.197272919756537,1.5295909379634784
136,10.476640682967039,1.5714961024450582
137,10.758514070260821,1.6137771105391252
138,11.042871003502663,1.6564306505254023
139,11.329689978106197,1.6994534967159305
140,11.618950038622254,1.7428425057933359
141,11.910630755757643,1.7865946133636457
142,12.204712204718309,1.8307068307077423
143,12.501174944780189,1.8751762417170268
144,12.799999999999995,1.9200000000000015
145,13.101168840985142,1.9651753261477722
146,13.404663367649334,2.0106995051473953
147,13.710465892886354,2.056569883932955
148,14.018559127100048,2.102783869065006
149,14.328926163533678,2.1493389245300576
150,14.64155046434632,2.196232569651946
